               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.032469,            0.012875,           0.0065754,             0.75782,             0.48879,              0.4602,             0.34872,            0.043175,           0.0072219,            0.010293,           0.0090298,           0.0090298,           0.0090298
                  51,            0.032627,            0.012591,           0.0066783,             0.84096,             0.51233,              0.5465,             0.41414,            0.039304,           0.0066993,           0.0036993,             0.00901,             0.00901,             0.00901
                  52,             0.03179,            0.012161,           0.0070462,             0.84887,             0.45169,             0.49639,             0.40822,            0.044221,           0.0069356,            0.005778,           0.0089902,           0.0089902,           0.0089902
                  53,            0.032633,            0.013295,           0.0066706,             0.85847,             0.49872,             0.53775,             0.41818,             0.04018,           0.0066057,           0.0036053,           0.0089704,           0.0089704,           0.0089704
                  54,            0.031824,            0.012601,           0.0066841,             0.85486,              0.5163,             0.55062,             0.43512,            0.037266,           0.0065991,           0.0039591,           0.0089506,           0.0089506,           0.0089506
                  55,            0.032924,            0.012959,           0.0067719,             0.86804,             0.49622,             0.54471,             0.42142,            0.038323,           0.0071214,           0.0043579,           0.0089308,           0.0089308,           0.0089308
                  56,            0.031771,            0.012549,           0.0066552,             0.87365,             0.51136,             0.55986,             0.43607,            0.038282,           0.0069739,           0.0037064,            0.008911,            0.008911,            0.008911
                  57,            0.032106,            0.013169,           0.0068068,             0.86544,             0.45295,              0.5191,             0.41459,            0.039118,           0.0074682,           0.0041016,           0.0088912,           0.0088912,           0.0088912
                  58,            0.031798,            0.012878,           0.0068966,             0.90735,             0.46241,             0.53319,             0.42461,            0.039495,           0.0065973,           0.0046161,           0.0088714,           0.0088714,           0.0088714
                  59,            0.031352,            0.012913,           0.0063693,             0.85257,             0.51182,             0.55093,             0.41513,            0.038866,           0.0065192,           0.0045003,           0.0088516,           0.0088516,           0.0088516
                  60,            0.031597,            0.012297,           0.0062424,             0.86056,             0.51565,             0.55468,             0.43139,            0.036742,           0.0071538,            0.003303,           0.0088318,           0.0088318,           0.0088318
                  61,            0.030629,            0.012656,           0.0068013,             0.88385,             0.51394,             0.56672,             0.43269,            0.037305,           0.0073295,           0.0035323,            0.008812,            0.008812,            0.008812
                  62,            0.030948,            0.012575,           0.0065534,              0.8776,             0.52166,             0.56437,             0.43141,            0.037542,           0.0064945,           0.0033816,           0.0087922,           0.0087922,           0.0087922
                  63,            0.030995,            0.012752,           0.0062005,             0.87411,             0.50653,             0.55882,             0.43651,            0.036619,            0.007224,           0.0036748,           0.0087724,           0.0087724,           0.0087724
                  64,            0.030852,            0.012613,           0.0060673,             0.86176,             0.50448,             0.55196,             0.41909,            0.037329,           0.0061352,           0.0045837,           0.0087526,           0.0087526,           0.0087526
                  65,            0.030944,            0.012227,           0.0061173,             0.86463,             0.53405,             0.56569,             0.43525,             0.03709,           0.0058358,             0.00333,           0.0087328,           0.0087328,           0.0087328
                  66,            0.031645,            0.012735,           0.0064227,             0.87389,             0.53027,             0.56014,             0.42512,            0.038363,           0.0069985,           0.0033636,            0.008713,            0.008713,            0.008713
                  67,            0.030607,            0.012843,           0.0064712,             0.83689,             0.49992,             0.54379,             0.41677,            0.038814,           0.0068318,            0.004474,           0.0086932,           0.0086932,           0.0086932
                  68,            0.030596,            0.012352,           0.0062156,             0.86687,             0.46276,             0.53104,             0.43969,            0.037065,           0.0074859,           0.0039379,           0.0086734,           0.0086734,           0.0086734
                  69,            0.029765,            0.012244,           0.0068176,             0.82982,             0.50544,             0.53901,             0.43193,            0.038108,           0.0078617,           0.0037032,           0.0086536,           0.0086536,           0.0086536
                  70,            0.030747,            0.012399,           0.0058963,             0.87268,             0.51204,             0.56244,             0.45342,            0.036492,           0.0075581,           0.0033832,           0.0086338,           0.0086338,           0.0086338
                  71,             0.03024,            0.012505,           0.0063655,              0.8801,             0.49278,             0.55341,             0.43108,            0.036825,           0.0076468,           0.0036999,            0.008614,            0.008614,            0.008614
                  72,            0.030394,            0.012471,           0.0061904,             0.85292,             0.51287,             0.55762,             0.42344,            0.036637,           0.0072435,           0.0042132,           0.0085942,           0.0085942,           0.0085942
                  73,             0.03085,            0.012216,           0.0060472,             0.87769,             0.51454,             0.55647,             0.44085,             0.03649,            0.006442,           0.0033995,           0.0085744,           0.0085744,           0.0085744
                  74,            0.029836,            0.012972,           0.0071967,             0.87513,             0.44727,             0.50049,             0.42486,            0.041002,           0.0081823,           0.0053268,           0.0085546,           0.0085546,           0.0085546
                  75,            0.030582,            0.012145,           0.0064152,             0.88866,             0.50927,             0.55898,             0.44299,            0.035294,           0.0077371,           0.0036833,           0.0085348,           0.0085348,           0.0085348
                  76,            0.029847,            0.012363,           0.0064157,             0.89381,             0.51433,             0.56745,              0.4446,            0.036339,           0.0063864,           0.0030606,            0.008515,            0.008515,            0.008515
                  77,            0.029849,            0.012228,           0.0058132,             0.86897,              0.5254,             0.55678,             0.42283,            0.036936,           0.0065274,           0.0035596,           0.0084952,           0.0084952,           0.0084952
                  78,            0.030533,            0.012129,           0.0058638,             0.89291,             0.50901,             0.56343,             0.44409,              0.0366,           0.0061264,           0.0031982,           0.0084754,           0.0084754,           0.0084754
                  79,            0.029727,            0.012457,           0.0059318,             0.88887,             0.50521,             0.56114,             0.43602,            0.035438,           0.0065656,           0.0031807,           0.0084556,           0.0084556,           0.0084556
                  80,            0.028643,            0.011871,           0.0058743,             0.88488,             0.50987,             0.56087,             0.43422,             0.03622,           0.0071324,           0.0033237,           0.0084358,           0.0084358,           0.0084358
                  81,            0.030197,            0.011843,           0.0058455,             0.89216,             0.50422,             0.56519,             0.43602,            0.036223,           0.0068491,           0.0032528,            0.008416,            0.008416,            0.008416
                  82,            0.030368,            0.012109,             0.00598,             0.90207,             0.49034,             0.55471,             0.43592,            0.035471,           0.0064947,           0.0037177,           0.0083962,           0.0083962,           0.0083962
                  83,            0.029607,            0.011878,           0.0054622,              0.8703,             0.49151,             0.55208,             0.42638,             0.03633,           0.0062542,           0.0045166,           0.0083764,           0.0083764,           0.0083764
